hospital,role,department,city,salary,hiring_type,phone,email,contact,notes,date_posted,source_url
CURA HOSPITALS,Duty Doctor,ENT,"Kalyananagar, Bengaluru, Karnataka","Up to ₹60,000 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,19 may 2026,https://in.indeed.com/rc/clk?jk=34eb7d4e09c13ce0&bb=t886_VjsR2Gv5wf-TXlcm451iKAW1kRLtRam3yIkdUvq0uqWLwKWW10IBeDB1CPFiZwLsWiaegga9kj9PFhP8A3Fj0kwG-KcoNWzQ9e19gxWhB5xnRWMfWPB-6KT9b-Y3m8eM3foGDcEDi2ZvtyTSA%3D%3D&xkcb=SoBL67M3iB1-XjTN0x0LbzkdCdPP&fccid=782848a141a05e4c&cmp=CURA-HOSPITALS&ti=Physician&vjs=3
Allahabad Institute of Medical Sciences,Duty Doctor,ENT,"Allahabad, Uttar Pradesh","₹50,000 - ₹1,00,000 a month",Full-time,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APpL_AUP45A7aX4FGpqR9VeWIU-s96t7d0Y3sxBOtVFyM-rTHMJgXAKB4mhEZlgwbgcuMxB1vG3jNLycDUxIplegG9X5jUPjEaKkSOHI29Q5Ql8TfPXi_ica2QzAUqk5QxMEiX7C190hOFbsGoPHHAro5tO_dkRb2wt75BlgvFyDYrBEik-vsZC4DxYTozs2c58kLjY9q2-nKVw_c5XuJsXWYNEwOLYC6UoWzyES2N5OYq8tELooI_okZG7kZkSuVtDuJ4m9ejsaAwFvebfN9AnwE7cCbn-QnTrARAPCAKr0mAX2HgFvUXQzX-MN36b5H-OzjUDv-XWbsh4zFz9tQX062aW8jCYruLKQ3LfJo3OdwoHFSt_QSykXrwWf4pSgrOs_a4tgtgbOeC88xD6xa_OypvzSaqcLHm1s4TgSC0urg08Txowr0itmgsSxFsZKdGJu_0hSd76c-3GY5DZmB4SkNLhg-SUBlc9TqEXcBX5rrfSZbu0JmuO7rwwUsTkM6YT64Z1Dx8ZtKuYNZH5yj1tebUuH71nEk0PStvllWdDrQ-MPm2eFRH-Pe0sQFSJdDX6MW-Oncknk3NI8kpaEuqi47H_BKcwZhOwz5r86EwFid7I9Gx9iCDQZC1QAurP9ROR4eIWF8y3cKIue1cgkrMNFS_xRiZs3Q=&xkcb=SoAL6_M3iB1-XjTN0x0KbzkdCdPP&camk=C3EPSzFlQw_O2SaJG4YTtQ==&p=1&fvj=0&vjs=3
RANGADORE MEMORIAL HOSPITAL,Duty Doctor,Emergency / Casualty,"Bengaluru, Karnataka","₹30,000 - ₹65,000 a month",Full-time,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,15 may 2026,https://in.indeed.com/rc/clk?jk=47474636dd2884ef&bb=t886_VjsR2Gv5wf-TXlcmxQPZceX4wDOg8St_Zz68GvcbWLBzO1nsPDM670Js3FQ9Ea00CVBk8togweZawfgugvmNqRd0qGiRo71lVS0yfT6cvft8pIDbLdp-GcHW05IN1ZlPsti2ozQt5qZpB0BDA%3D%3D&xkcb=SoBi67M3iB1-XjTN0x0JbzkdCdPP&fccid=9cbca84e03c210c4&cmp=sri-sringeri-sharada-peetham-charitable-trust&ti=Physician&vjs=3
Wayfinder Documents services,General Practitioner Doctor,"Emergency / Casualty, ENT","Nalagarh, Himachal Pradesh","₹60,000 - ₹1,00,000 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,7 may 2026,https://in.indeed.com/rc/clk?jk=f4418ee06cb26b3c&bb=t886_VjsR2Gv5wf-TXlcm1Tg0MpbWNhf0dGyOxOVLZ5IDpQm-H113Sjsj7lS6CX3CT47aGivvd9E90eHVjzTH7lVcmD3_AuoOs025Gnj7KP8sIn2YGgio_O8LgWNfx768eqiGQxdt29llKp-ZdwTPg%3D%3D&xkcb=SoDW67M3iB1-XjTN0x0IbzkdCdPP&fccid=9555569cd722ffc9&cmp=ALFA-AIR-WIRED-TELECOMUNICATION&ti=General+Practitioner&vjs=3
ADVANCED MEDICAL CARE,Duty doctor,"Emergency / Casualty, ENT","Gachibowli, Hyderabad, Telangana","₹30,000 - ₹35,000 a month",,,,Call hospital reception/admin,Accommodation provided; Apply via Indeed; Source: Indeed,4 may 2026,https://in.indeed.com/rc/clk?jk=b0598fdc90c2ff62&bb=t886_VjsR2Gv5wf-TXlcm4JpVQU7_M_DUiWoJuFmD2ePUtEDT-lgXKJkrDuvgf4A_tGob3HooK83bkQOMlwmXbfsmqcNKwKRAs-zOMxCvfV1YfUJ5FoW7h0j_CMqfwTva9fQhN5EBvmuWy2-h6CXWw%3D%3D&xkcb=SoBY67M3iB1-XjTN0x0PbzkdCdPP&fccid=fed2b6cb61a33d8f&cmp=Advanced-Medical-Care&ti=Physician&vjs=3
ADVANCED MEDICAL CARE,Duty doctor,"Emergency / Casualty, ENT","Gachibowli, Hyderabad, Telangana","₹30,000 - ₹35,000 a month",,,,Call hospital reception/admin,Accommodation provided; Apply via Indeed; Source: Indeed,,https://in.indeed.com/viewjob?jk=a1b2c3d4e5f67890
venkataeswara hospitals,duty doctor,"Emergency / Casualty, ENT","Nandanam, Chennai, Tamil Nadu","₹45,000 - ₹50,000 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,8 may 2026,https://in.indeed.com/rc/clk?jk=e74c9f5f8acba6e8&bb=t886_VjsR2Gv5wf-TXlcm0Tf6_61Z3WXo-j1hbRJ_LyW6jbt6qvFHspjJ61jRqO13Wq9h2oEdttocvclkANP4Tavsq7KJGP-XidWcliHb1d65G1BNb3bv79sk-fvmt-rh2anQoSc3LEeLujUAVtTWw%3D%3D&xkcb=SoDs67M3iB1-XjTN0x0ObzkdCdPP&fccid=22d8d14b3f0758ff&vjs=3
Kasukurthi Healthcare Pvt Ltd,Duty Doctor (Day Shift),ENT,"Banashankari III Stage, Bengaluru, Karnataka","₹30,000 - ₹35,000 a month","Flexible, Day Shift",,,Call hospital reception/admin,Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=15f9edd1bd4fa767&bb=t886_VjsR2Gv5wf-TXlcmzcnCYS3M4dIUt99npI1dSJS0Ma_GGSWDMDKjmOpGMLGDI4Zk8WNvl4BhcJZ87BLm8tBvfefM6jh_-75cPpKhfC3fWgGkRT-BytS9lQNfQ23Vbj8aek6aYRGBh3a2HR29g%3D%3D&xkcb=SoBx67M3iB1-XjTN0x0NbzkdCdPP&fccid=7ed7bccccb536008&cmp=Kasukurthi-Healthcare-Pvt-Ltd&ti=Physician&vjs=3
Omega Anu hospitals,Duty Medical Officer,"Emergency / Casualty, ENT","Enikepadu, Vijayawada, Andhra Pradesh","₹30,000 - ₹35,000 a month",Immediate Joining,,,Call hospital reception/admin,Immediate joining; Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=f3a91239b28f24cd&bb=t886_VjsR2Gv5wf-TXlcm0TqAwrfT25PHir25Q1P769IakORC70XM8qZn-9IfOKtVMTnAj9EPkYLCjf8d9lxYQYgxvWZhtoLRmPdRbup7J2yVx1ke42q5RIscLal8z2GmxsczM4GzuwGpa0-OKH1Sg%3D%3D&xkcb=SoDF67M3iB1-XjTN0x0MbzkdCdPP&fccid=82e20aca1deebf5b&cmp=Ankura-hospital-for-women-%2526-Children&ti=Medical+Officer&vjs=3
kanva sri sai hospital,Causality Duty Doctor,ENT,"Nandini Layout, Bengaluru, Karnataka","₹40,000 - ₹45,000 a month",Full-time,,,Call hospital reception/admin,PF benefits; Apply via Indeed; Source: Indeed,11 may 2026,https://in.indeed.com/rc/clk?jk=377ca66124d484a8&bb=t886_VjsR2Gv5wf-TXlcm2tRlwCMa4tbi3oDU3VpjeWsFjMxPR5Hq-BuFP5tETvOotATHBXRW6zcr5pJnjYcy4FLPT6kaM9Y7q-nQWum24jNFgtrUgqzATtt4zgTovw_9GSfc4qNqnmsBSjAWvLxVQ%3D%3D&xkcb=SoAs67M3iB1-XjTN0x0DbzkdCdPP&fccid=0deba88c4d0e0824&cmp=KANVA-SRI-SAI-HOSPITAL&ti=Physician&vjs=3
